Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,NAT,TEAM_NAME,LEAGUE,DOB,TIER
Cole Despie,TCU,1.5,1.5,200,0,0,0,0,0,0,0,48.3,0,3,300,81,219,2.3,154.2,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,97.5,6-4,G,Sr,B12,24-25,25,GUARD,USA,TCU,NCAA,8/21/2002,Power 5
Aneek Patil,QUC,1.5,1.5,200,0,0,0,0,0,0,0,45.9,0,3,300,93.5,206.5,2.3,138,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,97.5,5-10,G,So,A-SUN,24-25,25,GUARD,USA,Queens,NCAA,-,Low-Major
Eric Zheng,SEA,1.5,1.5,200,0,0,0,0,0,0,0,49.4,0,3,300,73.7,226.3,1.8,128.5,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,0.0,100.0,97.5,5-10,G,Fr,WCC,24-25,25,GUARD,CHN,Seattle,NCAA,-,High-Major
Julian Gabbidon,USNA,1.053,0,100,0,0,0,0,0,0,0,52.8,0,0,250,103.8,146.2,1.3,108.6,1,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,,,,,6-2,G,So,Patriot,24-25,25,GUARD,USA,Navy,NCAA,-,Low-Major
Ben Woodward,GMU,1.5,1.5,200,0,0,0,0,0,0,0,33.6,0,3,0,105.9,-105.9,4.5,105.2,3,1,2,0.7,0.7,1,0.7,0.7,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,96.0,6-4,G,Fr,A-10,24-25,25,GUARD,USA,George Mason,NCAA,-,High-Major
Brit Burden,USC,1,1,100,0,102.6,65.6,0,0,0,0,51.9,0,2,200,66.2,133.8,2,104.4,1,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0.0,0.0,35.0,6-7,F,Fr,B10,24-25,25,FORWARD,USA,USC,NCAA,-,Power 5
Broek Ostrom,STBN,1,1,100,0,0,0,0,0,0,0,52.7,0,2,200,115.2,84.8,1.3,99.8,2,0.5,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,35.0,6-2,G,Jr,A-10,24-25,25,GUARD,USA,St. Bonaventure,NCAA,-,High-Major
Collin Course,TARST,1.053,0,100,0,0,0,0,0,0,0,47.9,0,0,250,107.5,142.5,1.3,84.6,1,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,,,,,6-1,G,Sr,WAC,24-25,25,GUARD,USA,Tarleton State,NCAA,-,Mid-Major
Drew McElroy,TCU,1.5,1.5,200,0,56.3,28.6,0,0,0,0,23.5,0,3,0,74.2,-74.2,3,82.3,2,1,1.5,0.5,0.5,1,0.5,0.5,1,0,0,0,0,0.5,0.5,0,0,0,0,0,,0.0,100.0,95.0,6-2,G,So,B12,24-25,25,GUARD,USA,TCU,NCAA,-,Power 5
Miguel Mantilla Pacchiano,HOF,0.526,0,50,0,0,0,48.8,0,29,60.6,24.5,33.9,0,161.6,-17.8,179.4,3.3,81.3,1,2,1,0,0,0,0,0,0,1,2,0.5,0,0,0,1,1,1,0,0,,,,,6-6,C,Jr,CAA,24-25,25,BIG,USA,Hofstra,NCAA,-,Mid-Major
Eli Bennett,UVA,0,0,0,0,0,0,0,0,67.7,0,0,0,0,0,-53.9,53.9,2,69.8,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,6-2,G,Sr,ACC,24-25,25,GUARD,USA,Virginia,NCAA,-,Power 5
Amir Arrington,GW,1.5,1.5,200,0,0,0,50.8,0,0,0,19.7,13.1,3,284.8,96.2,188.6,5.5,67.7,4,1.3,1.5,0.5,0.5,1,0.5,0.5,1,0,0,0,0,0,0,0.3,0,0,0,0,,0.0,100.0,95.0,5-10,G,So,A-10,24-25,25,GUARD,USA,George Washington,NCAA,-,High-Major
Brendon O'Keefe,USMA,1,1,100,0,0,0,0,0,29.1,0,23.3,0,2,200,17.9,182.1,2.3,67.5,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,35.0,5-10,G,Fr,Patriot,24-25,25,GUARD,USA,Army,NCAA,-,Low-Major
Luke Davidson,FAIR,1.01,1.25,200,0,0,0,0,0,0,0,36.5,0,2.5,0,79.9,-79.9,3.1,67.2,1,3,5,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,50.0,50.0,77.9,6-0,G,Jr,MAAC,24-25,25,GUARD,USA,Fairfield,NCAA,-,Low-Major
Michael Amador,BRYNT,0.759,0.667,166.7,28.2,0,12.6,0,0,0,0,41,0,2,180.5,95.4,85.1,4,63.9,2,2,3,1,1.5,0.667,0,0.5,0,1,1,1,0.5,0,0.5,0,0,0,0,0,,66.7,33.3,50.7,6-1,G,Fr,AEC,24-25,25,GUARD,USA,Bryant,NCAA,-,Low-Major
Creighton Thieneman,MARSH,1,1,141.7,28,0,15,45.5,20,14,0,29.3,-4.1,2,150.6,73.3,77.3,7.5,60.7,3,2.7,2.7,1,1.3,0.75,0.7,1,0.667,0,0,0,0.7,0,0.7,0.3,0.7,0,0.3,1,1.00,0.0,76.9,68.2,6-5,G,Jr,Sun Belt,24-25,25,GUARD,USA,Marshall,NCAA,5/23/2001,Mid-Major
Holden Pierre-Louis,TEM,1,1,100,41.2,33.6,37,78.4,0,0,0,16,21.4,2,210.8,88.6,122.2,4,59.7,3,1,0.7,0.3,0.3,1,0,0,0,0,0,0,0.3,0.3,0.7,0.3,0,0,0,0,,0.0,0.0,35.0,6-8,F,Fr,AAC,24-25,25,FORWARD,USA,Temple,NCAA,-,High-Major
Antoni Vlogianitis,MRST,1.5,1.5,200,0,36,21.7,0,0,0,0,18.9,0,3,300,75.4,224.6,3,58.8,2,1.5,1.5,0.5,0.5,1,0.5,0.5,1,0,0,0,0,0.5,0.5,0,0,0,0,0,,0.0,100.0,95.0,6-4,G,Fr,MAAC,24-25,25,GUARD,USA,Marist,NCAA,-,Low-Major
Jackson Young,SMU,0.9,0.9,120,0,0,0,0,0,0,0,40.7,0,1.8,137.8,107.4,30.4,5.3,58.5,6,1,1.5,0.5,0.8,0.6,0.5,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,65.5,6-2,G,Sr,ACC,24-25,25,GUARD,USA,SMU,NCAA,-,Power 5
Owen Gray,USNA,0,0,0,0,119.4,60.6,0,0,0,156.9,0,0,0,0,1.6,-1.6,1.8,58,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,,,,,6-8,C,Fr,Patriot,24-25,25,BIG,USA,Navy,NCAA,-,Low-Major
Jacopo Van der Knaap,HAW,0.75,0.75,100,0,0,0,0,0,0,0,50.2,0,1.5,135.2,115.6,19.6,1.5,57,2,1,1.5,0.5,1,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,58.8,6-5,GF,Fr,BWC,24-25,25,WING,ITA,Hawaii,NCAA,3/11/2003,Mid-Major
Kieran O'Haire,PROV,1,1,100,0,62.5,31.5,0,0,0,0,26.3,0,2,0,86.8,-86.8,2,56.6,2,1,1,0.5,0.5,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,,0.0,0.0,35.0,6-2,G,Sr,Big East,24-25,25,GUARD,USA,Providence,NCAA,4/14/2003,Power 5
Anthony Clayton,SYRA,1.053,0,100,0,0,0,0,0,0,0,25.2,0,0,250,118.8,131.2,1.3,54.5,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,6-0,G,Sr,ACC,24-25,25,GUARD,USA,Syracuse,NCAA,-,Power 5
Teddy Pendergrass III,DESU,0.857,0.857,138.1,0,0,0,0,12.5,11.5,0,38.1,-9.9,1.7,103.2,74.5,28.7,7.3,54.5,6,1.5,2,0.8,1.2,0.714,0.3,0.5,0.667,0,0,0,0,0,0,0,0.3,0,0.2,0.2,0.00,0.0,41.7,55.4,6-2,G,Fr,MEAC,24-25,25,GUARD,USA,Delaware State,NCAA,-,Low-Major
George Perkins,RICE,1,1,100,44.9,25.3,35.7,0,0,12.2,0,10.2,0,2,208.1,77.2,130.9,5,54.1,6,0.8,0.3,0.2,0.2,1,0,0,0,0,0,0,0.3,0.2,0.5,0,0.2,0,0,0,,0.0,0.0,35.0,6-8,F,So,AAC,24-25,25,FORWARD,USA,Rice,NCAA,-,High-Major
Jurrell Baldwin,MZZST,1,1,100,0,52.6,29.9,0,0,0,0,24.4,0,2,200,71.1,128.9,2,53.7,2,1,1,0.5,0.5,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,,0.0,0.0,35.0,6-7,F,RS-Fr,MVC,24-25,25,FORWARD,USA,Missouri State,NCAA,-,High-Major
Jordon Marshall,ALAST,0.922,0.875,275,0,0,0,0,26.9,0,14.2,50.6,-27.9,2.5,120.6,85.5,35.1,4.4,51.6,4,1.8,2.5,0.8,1,0.75,0.3,0.3,1,0.8,0.8,1,0,0,0,0,0,0.3,0.5,0.3,0.00,80.0,30.0,81.3,6-2,G,Jr,SWC,24-25,25,GUARD,USA,Alabama State,NCAA,-,Low-Major
Vason Stevenson,PITT,1.053,0,100,0,0,0,0,0,0,0,23.5,0,0,250,111.1,138.9,1.3,51.6,1,2,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,,,,,6-3,F,Jr,ACC,24-25,25,FORWARD,USA,Pittsburgh,NCAA,6/26/2004,Power 5
Aidan Driggers,JKSNV,1.026,1,200,0,0,0,0,0,11,0,19.1,0,4,228.1,86.6,141.5,3.5,50.1,3,1.7,1.3,0.3,0.3,1,0,0,0,0.7,0.7,1,0,0,0,0,0.3,0,0,0,,233.3,0.0,69.2,6-6,F,Jr,C-USA,24-25,25,FORWARD,USA,Jacksonville State,NCAA,-,Mid-Major
Antwann Jones,BTHCK,1.25,1.25,200,0,0,0,0,0,0,0,21.7,0,2.5,250,148.6,101.4,3.5,49.5,1,5,5,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,50.0,81.3,6-6,SG,Sr,SWC,24-25,25,GUARD,USA,Bethune-Cookman,NCAA,5/29/1999,Low-Major
Trey Boggess,MRRY,1,1,100,0,0,0,0,0,18.4,0,15.9,0,2,200,39.3,160.7,2.3,48.8,2,1.5,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,,0.0,0.0,35.0,6-4,G,Fr,MVC,24-25,25,GUARD,USA,Murray State,NCAA,-,High-Major
Mandela Tarke,TOWS,0.755,0.714,171.4,0,11,5.2,0,0,0,10.3,33.8,0,1.7,153.5,97.3,56.3,7.3,48.5,6,2,2,0.8,1.2,0.714,0,0.2,0,0.3,0.3,1,0,0.2,0.2,0,0,0.2,0,0.2,,25.0,16.7,42.4,5-11,G,Fr,CAA,24-25,25,GUARD,USA,Towson,NCAA,-,Mid-Major
Peter Noble,RUTG,0.75,0.75,100,0,0,0,0,0,0,0,48.8,0,1.5,98.8,113.5,-14.8,1.5,48.5,2,1,1.5,0.5,1,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,58.8,6-2,GF,Fr,B10,24-25,25,WING,USA,Rutgers,NCAA,-,Power 5
Joshua Eli,USMA,0.678,0.5,150,32.3,40,35.7,0,0,0,0,34.4,0,2,181.9,76.7,105.2,3.5,47.2,1,4,4,1,2,0.5,0,1,0,2,2,1,1,1,2,0,0,0,0,0,,100.0,50.0,56.2,6-6,F,Fr,Patriot,24-25,25,FORWARD,USA,Army,NCAA,-,Low-Major
T.J. Prosise,GMU,1,1,100,0,0,0,0,0,0,0,24.1,0,2,200,93.1,106.9,1.3,46.2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,35.0,6-3,G,Fr,A-10,24-25,25,GUARD,USA,George Mason,NCAA,-,High-Major
Adam Stewart,TCU,1,1,100,0,0,0,0,0,0,0,23.5,0,2,200,91.3,108.7,1.3,45.7,2,1,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,35.0,6-11,C,Fr,B12,24-25,25,BIG,USA,TCU,NCAA,-,Power 5
Lieb Yat,SOMIS,0.805,0.667,150,13.4,51.2,31.5,0,10.3,0,13.1,27.2,-5.6,4.7,163,99.6,63.5,14,42.8,6,2.8,2.3,0.3,0.5,0.667,0,0,0,1.7,2,0.833,0.3,1.2,1.5,0,0,0.3,0.2,0.5,0.00,400.0,0.0,76.5,7-0,C,Jr,Sun Belt,24-25,25,BIG,AUS,Southern Miss,NCAA,-,Mid-Major
